wgi_glacier_id,lat,lon,glacier_name,max_elev
CN5Q153H0005,35.113,78.294,Xiaohong,6475
CN5X042D0004,44.8,80.25,4,3921
CN5X042D0052,44.63,80.6,52,3650
CN5X042E0007,44.55,80.47,7,3860
CN5X042F0020,44.52,80.55,20,4004
CN5X042G0008,44.53,80.62,8,4049
CN5X043B0010,44.02,82.88,10,3700
CN5X043E0007,43.98,83.22,7,3680
CN5X043F0006,43.95,83.25,6,3800
CN5X043G0005,43.95,83.37,5,3600
CN5X043J0020,43.85,83.77,20,3740
CN5X043K0043,43.83,83.93,43,3880
CN5X043O0005,43.55,84.53,5,3920
CN5X043P0037,43.48,84.87,37,4183
CN5X043P0073,43.48,84.77,73,4100
CN5X043P0074,43.45,84.78,74,4247
CN5X043P0084,43.47,84.72,84,4028
CN5X043P0103,43.48,84.67,103,4077
CN5X043P0104,43.5,84.67,104,4076
CN5X043Q0006,43.5,84.55,6,4100
CN5X043R0037,43.53,84.3,37,3840
CN5X043R0045,43.48,84.23,45,3900
CN5X044B0002,43.48,84.17,2,3620
CN5X044D0008,43.4,84.65,8,3860
CN5X044D0031,43.43,84.75,31,4020
CN5X044D0033,43.43,84.78,33,3900
CN5X044D0034,43.43,84.8,34,4153
CN5X044E0020,43.37,84.88,20,3890
CN5X044E0022,43.38,84.9,22,3973
CN5X044E0032,43.38,84.98,32,4100
CN5X044I0009,43.12,83.85,9,3760
CN5X044I0016,43.12,83.78,16,4020
CN5X044J0068,42.97,82.82,68,3700
CN5X044K0052,42.88,82.47,52,3820
CN5X045B0020,42.87,82.4,20,3660
CN5X045B0024,42.85,82.37,24,3780
CN5X045B0027,42.85,82.35,27,3540
CN5X045C0024,42.73,82.17,24,3960
CN5X045D0010,42.78,82.52,10,4174
CN5X045D0013,42.8,82.5,13,4260
CN5X045D0033,42.87,82.55,33,3800
CN5X045D0042,42.87,82.67,42,3900
CN5X045E0008,42.73,83.1,8,4100
CN5X045E0039,42.7,82.97,39,3880
CN5X045F0025,42.67,82.9,25,4100
CN5X045G0065,42.68,82.63,65,4149
CN5X045H0028,42.55,82.6,28,4320
CN5X045I0011,42.48,82.35,11,3700
CN5X045I0020,43.52,82.32,20,3660
CN5X045I0027,42.47,82.27,27,3900
CN5X045I0059,42.42,82.02,59,4000
CN5X045J0017,42.4,81.98,17,4400
CN5X046A0006,42.68,81.73,6,3800
CN5X046A0008,42.68,81.7,8,3900
CN5X046C0006,42.65,81.32,6,3920
CN5X046D0030,42.6,81.17,30,3940
CN5X046D0034,42.63,81.32,34,4100
CN5X046E0091,42.43,81.63,91,4300
CN5X046E0096,42.48,81.65,96,4160
CN5X046E0098,42.52,81.68,98,4060
CN5X046E0117,42.5,81.6,117,4260
CN5X046E0129,42.5,81.57,129,4000
CN5X046E0152,42.52,81.43,152,3960
CN5X046G0037,42.35,81.18,37,4000
CN5X046G0051,42.35,81.07,51,4000
CN5X046G0064,42.45,81.15,64,4409
CN5X046H0003,42.52,81.12,3,4112
CN5X046J0012,42.55,80.9,12,4160
CN5X046J0017,42.55,80.85,17,4020
CN5X046L0013,42.5,80.52,13,3960
CN5X046L0052,42.43,80.48,52,4213
CN5X046L0061,42.48,80.47,61,3807
CN5X046L0063,42.47,80.45,63,4116
CN5X046L0108,42.35,80.42,108,4277
CN5X046L0126,42.33,80.33,126,4127
CN5X046L0132,42.32,80.28,132,4234
CN5Y414D0005,37.55,102.13,5,4500
CN5Y414D0008,37.58,102,8,4847
CN5Y415D0005,37.58,102.15,5,4650
CN5Y415D0009,37.57,102.12,9,4794
CN5Y416D0009,37.62,102.07,9,4450
CN5Y417C0009,37.62,101.63,9,4520
CN5Y421G0003,38.28,100.5,3,4710
CN5Y421G0005,38.28,100.48,5,4710
CN5Y423A0001,38.3,100.28,1,4920
CN5Y424P0003,38.43,99.37,3,4680
CN5Y425F0007,38.58,99.05,7,4800
CN5Y425N0001,39,98.92,1,4770
CN5Y426G0003,38.65,99.6,3,4700
CN5Y427E0001,38.67,99.6,1,4607
CN5Y428B0014,38.92,99.33,14,4821
CN5Y429D0001,39.07,98.93,1,4620
CN5Y431B0003,39.15,98.73,3,4712
CN5Y431B0013,39.13,98.65,13,4620
CN5Y431B0030,39.22,98.58,30,5306
CN5Y432A0001,39.22,98.55,1,5422
CN5Y432A0007,39.25,98.4,7,5042
CN5Y432A0017,39.27,98.53,17,4908
CN5Y432C0011,39.23,98.5,11,5155
CN5Y432C0013,39.23,98.48,13,4660
CN5Y432H0001,39,98.45,1,4842
CN5Y432H0007,39,98.42,7,4869
CN5Y432J0001,39.2,98.37,1,4977
CN5Y432J0016,39.22,98.23,16,5100
CN5Y432M0033,39.43,98.13,33,4780
CN5Y433B0073,39.3,98.12,73,4928
CN5Y433B0076,39.32,98.1,76,5100
CN5Y433D0039,39.17,98.22,39,4900
CN5Y433D0041,39.17,98.22,41,4680
CN5Y433D0043,39.17,98.25,43,5321
CN5Y435K0002,38.62,98.47,2,4770
CN5Y436C0010,38.78,98.1,10,4820
CN5Y436F0006,38.9,97.88,6,4965
CN5Y436G0005,38.93,97.82,5,5025
CN5Y436G0006,38.93,97.82,6,4847
CN5Y436G0023,38.97,97.75,23,5134
CN5Y441C0004,39.37,97.62,4,4900
CN5Y441C0005,39.33,97.57,5,5036
CN5Y441G0005,39.4,97.53,5,4940
CN5Y441P0003,39.2,97.18,3,4904
CN5Y445D0001,38.45,98.02,1,4940
CN5Y445D0010,38.38,97.95,10,5183
CN5Y445D0026,38.47,97.93,26,5084
CN5Y445G0029,38.52,97.72,29,5625
CN5Y445G0039,38.57,97.77,39,5594
CN5Y445H0024,38.65,97.75,24,4936
CN5Y446B0018,38.58,97.63,18,5300
CN5Y447E0002,38.88,96.97,2,4880
CN5Y447H0014,39.45,96.67,14,5417
CN5Y448B0011,39.42,96.63,11,5020
CN5Y448D0031,39.52,96.43,31,5279
CN5Y448D0032,39.5,96.43,32,5250
CN5Y448D0038,39.5,96.38,38,4961
CN5Y452F0002,39.5,96.43,2,5279
CN5Y452F0008,39.48,96.47,8,5131
CN5Y452H0004,39.4,96.58,4,5462
CN5Y452H0010,39.37,96.63,10,5212
CN5Y455D0007,38.6,97.32,7,5150
CN5Y455D0009,38.6,97.35,9,5063
CN5Y457A0003,38.57,96.47,3,4940
CN5Y457E0007,38.77,95.98,7,5304
CN5Y458A0021,39.1,95.48,21,5477
CN5Y458G0004,39.25,95.25,4,5336
CN5Y458H0002,39.25,95.23,2,5060
CN5Y459D0002,39.28,93.77,2,5120
CN5Y459H0002,39.28,93.73,2,5181
CN5Y459H0010,39.27,93.6,10,5798
CN5Y513F0003,38.22,98.67,3,5080
CN5Y562I0004,39.18,95.3,4,5665
CN5Y564H0013,38.2,96.07,13,5322
CN5Y564H0025,38.23,96.03,25,5641
CN5Y564K0001,38.45,95.82,1,5242
CN5Y565I0002,38.4,95.7,2,5175
CN5Y565L0006,38.35,95.62,6,5336
CN5Y565L0008,38.35,95.58,8,5140
CN5Y571C0002,38.6,97.37,2,5080
CN5Y571D0004,38.55,97.63,4,5436
CN5Y581D0011,38.3,95.62,11,5370
CN5Y581F0006,38.33,95.63,6,5365
CN5Y581F0008,38.37,95.67,8,5220
CN5Y582F0016,38.18,96.1,16,5323
CN5Y582H0009,38.08,96.3,9,5315
CN5Y644I0160,36.494,77.449,Turisu,6312
CN5Y671C0025,40.7,76.83,25,4520
CN5Y671C0042,40.77,76.78,42,4640
CN5Y671M0008,40.95,76.92,8,4140
CN5Y671M0037,40.98,77.1,37,4400
CN5Y671N0028,40.9,77.43,28,5000
CN5Y671N0029,40.92,77.42,29,5150
CN5Y671O0025,40.95,77.83,25,3700
CN5Y671O0033,41,77.85,33,4720
CN5Y671O0057,40.98,78,57,5100
CN5Y671P0009,40.98,78.03,9,4914
CN5Y672A0007,41.08,78.17,7,4800
CN5Y672A0021,41.03,78.05,21,4880
CN5Y672A0028,41.08,78.05,28,4600
CN5Y672B0008,41.07,78.02,8,5130
CN5Y672B0017,41.08,77.9,17,4541
CN5Y672B0044,41.12,77.7,44,4460
CN5Y672C0003,41.08,77.67,3,4698
CN5Y672E0029,41.35,77.78,29,4000
CN5Y672E0038,41.43,77.93,38,4400
CN5Y672F0031,41.23,78.32,31,4600
CN5Y672G0020,41.25,78.4,20,4600
CN5Y672H0023,41.48,78.8,23,4720
CN5Y672I0015,41.6,78.93,15,4986
CN5Y673P0053,41.9,80.05,53,5300
CN5Y673P0069,41.75,79.88,69,5160
CN5Y673P0073,41.77,79.92,73,5986
CN5Y674A0017,41.77,80.23,17,4600
CN5Y674A0025,41.78,80.27,25,4867
CN5Y674B0007,41.95,80.33,7,4518
CN5Y674B0038,41.97,80.25,38,6876
CN5Y674C0014,42,80.4,14,4980
CN5Y674C0029,41.92,80.48,29,4403
CN5Y674F0003,41.88,80.62,3,4850
CN5Y681B0013,42.08,80.57,13,5026
CN5Y681B0039,42.15,80.55,39,5289
CN5Y681D0002,42.27,80.7,2,4800
CN5Y681D0023,42.32,80.82,23,4050
CN5Y681E0001,42.25,80.8,1,6400
CN5Y682A0038,41.97,81.23,38,4200
CN5Y682D0001,42.15,81.37,1,3800
CN5Y682D0054,42.33,81.45,54,4200
CN5Y682D0067,42.22,81.57,67,4100
CN5Y683A0032,42.32,81.85,32,4220
CN5Y683B0013,42.35,82.03,13,4100
CN5Y684B0023,42.33,82.15,23,4200
CN5Y685B0004,42.43,82.98,4,4000
CN5Y685B0013,42.57,82.93,13,4300
CN5Y686B0016,42.45,83.48,16,4060
CN5Y686B0025,42.5,83.77,25,4343
CN5Y686C0024,42.5,83.8,24,4334
CN5Y686E0006,42.37,84.22,6,4685
CN5Y686E0018,42.33,84.28,18,4383
CN5Y686H0001,42.28,84.83,1,3900
CN5Y691D0002,42.35,84.72,2,4040
CN5Y691D0004,42.35,84.68,4,3980
CN5Y691D0012,42.38,84.62,12,4000
CN5Y691E0018,42.47,84.12,18,3820
CN5Y692A0003,42.52,84.03,3,3880
CN5Y692B0001,42.5,83.92,1,3700
CN5Y692C0002,42.53,83.73,2,3880
CN5Y692C0082,42.6,83.05,82,4180
CN5Y692D0009,42.67,83.3,9,4180
CN5Y692D0021,42.63,83.2,21,4100
CN5Y693C0008,43.03,83.58,8,3840
CN5Y693D0005,43.07,83.7,5,4164
CN5Y694F0002,43.32,84.97,2,4035
CN5Y694G0004,43.18,85.22,4,4190
CN5Y694H0026,43.17,85.3,26,4194
CN5Y695B0010,42.62,85.5,10,4090
CN5Y696B0001,42.85,84.87,1,4143
CN5Y696B0021,42.77,84.93,21,3820
CN5Y696D0001,42.58,84.95,1,4000
CN5Y696D0002,42.58,84.95,2,3940
CN5Y696D0018,42.63,85.13,18,4000
CN5Y696D0047,42.52,85.12,47,4240
CN5Y696G0075,42.53,85.47,75,4540
CN5Y696I0005,42.58,85.85,5,4300
CN5Y697A0006,42.83,85.82,6,4274
CN5Y697E0027,43.05,86.85,27,4136
CN5Y697E0038,43.05,86.93,38,4100
CN5Y697E0046,42.8,86.77,46,4325
CN5Y698B0009,42.78,86.82,9,4300
CN5Y711C0008,43.08,94.33,8,4744
CN5Y723F0014,43.43,89.45,14,4100
CN5Y724A0010,43.52,89.32,10,3954
CN5Y724E0002,43.65,88.9,2,3940
CN5Y724H0002,43.78,88.63,2,4090
CN5Y725B0004,43.78,88.47,4,3910
CN5Y725E0014,43.75,88.23,14,4220
CN5Y725E0020,43.73,88.2,20,4200
CN5Y725F0004,43.73,88.13,4,4000
CN5Y730B0035,43.07,87.1,35,4000
CN5Y730B0058,43.02,87.02,58,4280
CN5Y730C0029,43.08,86.82,29 1HBC,4486
CN5Y730D0012,43.13,87.02,12,4120
CN5Y731B0014,43.23,86.8,14,3960
CN5Y731B0028,43.15,86.77,28,4500
CN5Y731D0029,43.1,86.72,29,4256
CN5Y732B0024,43.33,86.33,24,4400
CN5Y732E0016,43.33,86.23,16,4600
CN5Y732F0022,43.42,86.1,22,5290
CN5Y732F0029,43.48,86.15,29,4290
CN5Y732F0054,43.55,86.33,54,4100
CN5Y732F0062,43.55,86.28,62,4000
CN5Y733C0028,43.55,86.12,28,4200
CN5Y733D0016,43.45,86.05,16,5150
CN5Y733D0030,43.5,85.98,30,4650
CN5Y733D0033,43.53,85.98,33,4340
CN5Y734A0006,43.62,85.98,6,4400
CN5Y734A0008,43.6,85.98,8,4339
CN5Y734A0027,43.5,85.92,27,4539
CN5Y734A0031,43.57,85.92,31,4100
CN5Y734A0039,43.6,85.9,39,3940
CN5Y734B0023,43.6,85.88,23,4467
CN5Y734B0036,43.52,85.92,36,4220
CN5Y734B0043,43.52,85.83,43,4702
CN5Y735A0005,43.5,85.85,5,4700
CN5Y735A0006,43.5,85.83,6,4280
CN5Y735B0013,43.47,85.93,13,4650
CN5Y735B0036,43.4,85.98,36,4490
CN5Y735B0044,43.4,85.93,44,4220
CN5Y735C0013,43.38,86.08,13,4400
CN5Y735C0030,43.33,86.08,30,4180
CN5Y735C0056,43.22,86.05,56,4090
CN5Y735D0018,43.15,85.88,18,4038
CN5Y735E0015,43.18,85.77,15,4487
CN5Y735E0024,43.17,85.72,24,4234
CN5Y735E0036,43.2,85.65,36,4200
CN5Y735E0049,43.25,85.7,49,4312
CN5Y735F0025,43.2,85.57,25,4620
CN5Y735F0078,43.33,85.53,78,4834
CN5Y735F0089,43.33,85.63,89,4269
CN5Y735F0093,43.38,85.62,93,4620
CN5Y735G0028,43.53,85.65,28,4020
CN5Y736A0018,43.38,85.6,18,4600
CN5Y736A0027,43.38,85.55,27,4752
CN5Y736A0030,43.37,85.57,30,4643
CN5Y736B0041,43.32,85.03,41,4360
CN5Y736C0010,43.4,84.97,10,4154
CN5Y736C0013,43.42,84.98,13,4100
CN5Y736C0021,43.43,85.03,21,4507
CN5Y736C0064,43.38,85.17,64,4000
CN5Y736D0010,43.43,85.17,10,4502
CN5Y736D0011,43.47,85.22,11,4835
CN5Y736E0002,43.4,85.32,2,4420
CN5Y736E0006,43.38,85.33,6,4240
CN5Y736E0011,43.38,85.37,11,4450
CN5Y736E0030,43.45,85.42,30,4285
CN5Y736G0035,43.68,85.65,35,3900
CN5Y736G0036,43.68,85.65,36,4000
CN5Y737A0037,43.77,85.52,37,3909
CN5Y737C0006,43.63,85.48,6,4535
CN5Y737C0032,43.6,85.38,32,4767
CN5Y737D0005,43.58,85.33,5,4913
CN5Y737D0035,43.53,85.23,35,4360
CN5Y737G0010,43.82,85.18,10,4022
CN5Y738C0019,43.67,85.02,19,4188
CN5Y738C0039,43.55,85.02,39,4834
CN5Y738D0010,43.62,84.9,10,4200
CN5Y738D0019,43.57,84.87,19,4142
CN5Y738D0028,43.58,84.82,28,4100
CN5Y738D0054,43.82,84.87,54,4179
CN5Y741B0004,43.77,84.83,4,4120
CN5Y741B0023,43.72,84.8,23,4440
CN5Y741B0024,43.73,84.8,24,3800
CN5Y741B0087,43.78,84.62,87,4280
CN5Y741C0085,43.78,84.32,85,4080
CN5Y741D0014,43.8,84.33,14,4437
CN5Y742A0018,43.95,84.3,18,4183
CN5Y742A0035,43.9,84.17,35,3860
CN5Y742B0013,43.9,84,13,4220
CN5Y742C0018,43.95,83.87,18,4105
CN5Y742C0055,44.03,84.1,55,4240
CN5Y742E0002,44.05,84.18,2,4120
CN5Y742E0015,44.07,84.08,15,4193
CN5Y742E0027,44.05,84.02,27,4517
CN5Y742F0015,44.05,83.92,15,4620
CN5Y742F0028,44,83.87,28,4367
CN5Y742F0057,44,83.72,57,4615
CN5Y742H0022,44.02,83.5,22,4020
CN5Y742H0058,44.08,83.45,58,4286
CN5Y742H0069,44.15,83.47,69,3910
CN5Y742I0006,44.2,83.47,6,3920
CN5Y742I0023,44.25,83.35,23,3550
CN5Y742I0027,44.27,83.32,27,3900
CN5Y743C0002,44.17,83.28,2,3820
CN5Y743C0018,44.08,83.45,18,3960
CN5Y743D0010,44,83.45,10,4100
CN5Y743E0007,44.05,82.88,7,3550
CN5Y746B0002,44.68,80.85,2,4110
CN5Y746D0025,44.83,80.23,25,4030
CN5Y746E0013,44.82,80.17,13,3920
CN5Y811C0007,42.72,87.02,7,4120
CN5Y811C0013,42.73,86.97,13,4221
CN5Y811C0017,42.75,86.92,17,4244
CN5Y811E0007,43.02,87.28,7,4108
CN5Y811E0011,43.03,87.23,11,4120
CN5Y812B0018,43.75,88.33,18,5180
CN5Y813A0001,43.08,87.48,1,4220
CN5Y813A0002,43.07,87.47,2,4317
CN5Y813B0020,43.72,88.45,20,4300
CN5Y813D0007,43.7,88.7,7,4160
CN5Y821A0004,43.45,93.03,4,4100
CO1A01001015,10.817,-73.617,OJEDA S   4,5300
CO1A01003017,10.833,-73.65,CHIMAKA N,4850
CO1A01003026,10.833,-73.7,SIMONS N 1,5400
CO1A01003032,10.85,-73.717,MENDERS 4,4850
CO1A01005005,10.833,-73.717,HERRADURA,5100
CO1A01008017,10.817,-73.617,REINA CHICO 5,5050
FR4N01083A11,44.822,6.34,BONVOISIN,3040
FR4N01083B25,44.938,6.45,JEAN GAUTHIER,3150
FR4N01144A21,45.704,6.786,GROUPE,2760
FR4N01144G18,45.541,6.852,GROUPE,2880
FR4N01145015,45.526,6.853,GEAY GL.DU,3770
FR4N01145043,45.491,6.79,GROS GLACIER,3360
FR4N01147001,45.453,6.375,GROUPE,2670
FR4N01152A15,45.359,6.786,ROCHE FERRAN II,3140
FR4N01152B08,45.405,6.91,GROUPE,2950
FR4N01153A12,45.405,7.019,NEVE,2980
FR4N01153B11,45.418,7.15,DERRIERE LES LAC,3350
FR4N01153C04,45.338,7.052,GLACIER ROCHEUX,2900
FR4N01153D01,45.274,7.035,GLACIER ROCHEUX,3030
FR4N01153D03,45.259,7.054,GLACIER ROCHEUX,3080
FR4N01154B14,45.142,6.706,NEVE,3080
FR4N01154B22,45.118,6.568,GROUPE,2950
FR4N01154B27,45.139,6.542,GROUPE,3000
FR4N01154Q08,45.142,6.885,NEVE,2960
FR4N01162A02,45.172,5.989,LAMARTINE,2700
FR4N01163C03,45.107,6.154,DENTS DU CERISIE,2400
FR4N01164C01,45.084,6.334,GAP,2810
FR4N01165A05,44.968,6.39,RIF DE LA PLANCH,3180
FR4N01165A07,44.973,6.384,CHAMOISSIERE,3110
FR4N01165C02,44.973,6.334,CLOT DES CAVALES,3540
FR4N01165C11,44.992,6.34,CLAIRE SUP. E (B,3350
FR4N01165E02,45.017,6.301,MEIJE (DE LA),3950
FR4N01166E06,44.888,6.259,VALLON DES ETAGE,3330
FR4N01166F05,44.889,6.237,REGENERE,3130
FR4N01166F20,44.889,6.184,LAC (DU),3150
FR4N01166G03,44.893,6.17,PAROI DES ARIAS,3150
FR4N01166H10,44.934,6.109,MONTAGNE (DE LA),3240
FR4N01171E01,44.902,6.167,GL GRAND VALLON,3070
FR4N01172F05,44.726,6.323,COULOIR NORD SIR,3044
FR4N01172H05,44.767,6.168,NEVE GROS DU JAS,2250
FR4N01235A07,45.953,7.005,MILIGU,3902
FR4N01235A08,45.95,7,ARGENTIERE,4122
FR4N01236A06,45.908,6.954,MOINE,2950
FR4N01236A15,45.903,6.92,REPUBLIQUE,3300
FR4N01239A01,45.842,6.825,TETE ROUSSE,3310
FR4Q00032B01,42.792,-0.125,PIC DE LA SEDE,2940
FR4Q00033D01,42.832,0.114,MANIPORTET,2950
FR4Q00033L24,42.7,0.024,ASTAZOU,2700
FR4Q00182D03,42.7,0.539,OUEST DE NAUPAS,2970
HM6C40400020,-53.132,73.593,Winston Gl,2255
IN5O163B0056,30.563,80.158,Bamras Gal,5880
IN5O163D0114,30.268,80.621,Rama Bhitar Gl,6130
IN5O201E0079,27.897,88.849,KhanKyongKhangse,7030
IN5Q214F0029,34.057,75.517,Shishram,4880
IN5Q321F0018,31.863,78.196,Samand,5520
IN5Q340C0039,31.392,78.567,Holdo,5180
IT4J14311020,46.421,10.103,SALIENTE,3000
IT4L00024009,46.508,12.231,SORAPIS E,2520
IT4L00102301,46.421,10.731,CIMA CAVAION E,3050
IT4L00102414,46.23,10.632,MTE CERCEN NE,3200
IT4L00102514,46.407,10.64,VEDRETTA ROSSA,3640
IT4L00102515,46.415,10.639,VENEZIA,3705
IT4L00111211,46.755,11.032,GRAVA W,3010
IT4L00111215,46.806,11.055,PLAN,3430
IT4L01012008,46.16,10.892,BOCCA DI BRENTA,2550
IT4L01024012,46.025,10.485,SAVIORE,2800
IT4L01027001,46.315,10.446,PIETRE ROSSE S,2970
IT4L01028008,46.199,10.509,CALOTTA,3210
IT4L01042003,45.829,7.882,OTRO,3150
IT4L01104025,46.292,9.692,PIZZO TORRONE W,3150
IT4L01104035,46.261,9.747,CORNA ROSSA,3250
IT4L01121002,46.26,9.972,CIMA PAINALE NW,2850
IT4L01122003,46.26,9.754,CASSANDRA E,3450
IT4L01122022,46.342,9.725,MONTE D FORNO NE,3050
IT4L01137031,46.381,10.553,DOSEGU,3670
IT4L01214004,46.26,8.111,LEONE,3533
IT4L01214008,46.296,8.136,MOTTISCIA,2930
IT4L01216011,46.425,8.367,SABBIA E,2790
IT4L01451013,45.479,7.117,BASEI,3320
IT4L01451024,45.504,7.278,NOASCHETTA W,3470
